type,n,msecs,kbytes
arcs,100,30,54.853515625
arcs,100,30,54.9560546875
arcs,100,32,54.9970703125
arcs,100,34,55.0380859375
arcs,100,33,55.0791015625
arcs,100,32,55.1201171875
arcs,100,34,55.1611328125
arcs,100,33,55.2021484375
arcs,100,33,55.2431640625
arcs,100,34,55.2841796875
arcs,500,141,66.853515625
arcs,500,149,66.95703125
arcs,500,152,66.9970703125
arcs,500,152,67.0390625
arcs,500,153,67.078125
arcs,500,151,67.1162109375
arcs,500,153,67.158203125
arcs,500,151,67.19921875
arcs,500,152,67.2392578125
arcs,500,152,67.28125
arcs,1000,288,82.853515625
arcs,1000,303,82.9580078125
arcs,1000,305,83.0009765625
arcs,1000,305,83.0439453125
arcs,1000,304,83.0869140625
arcs,1000,305,83.1298828125
arcs,1000,304,83.1728515625
arcs,1000,305,83.2158203125
arcs,1000,305,83.2587890625
arcs,1000,305,83.3017578125
arcs,5000,1450,306.853515625
arcs,5000,1513,306.9599609375
arcs,5000,1523,307.0048828125
arcs,5000,1524,307.0498046875
arcs,5000,1525,307.0947265625
arcs,5000,1525,307.1396484375
arcs,5000,1522,307.1845703125
arcs,5000,1529,307.2294921875
arcs,5000,1524,307.2744140625
arcs,5000,1520,307.3193359375
arcs,10000,2900,562.853515625
arcs,10000,3030,562.9609375
arcs,10000,3033,563.00390625
arcs,10000,3036,563.0478515625
arcs,10000,3051,563.09375
arcs,10000,3038,563.134765625
arcs,10000,3033,563.1796875
arcs,10000,3032,563.22265625
arcs,10000,3035,563.2666015625
arcs,10000,3033,563.3125
arcs,50000,14030,2100.755859375
arcs,50000,12337,2100.865234375
arcs,50000,9022,2100.912109375
arcs,50000,9029,2100.9580078125
arcs,50000,9083,2101.0048828125
arcs,50000,9077,2101.0517578125
arcs,50000,10398,2101.0986328125
arcs,50000,10466,2101.146484375
arcs,50000,9006,2101.193359375
arcs,50000,10717,2101.2392578125
arcs,100000,29438,4149.287109375
arcs,100000,30638,4149.3974609375
arcs,100000,30644,4149.4462890625
arcs,100000,30647,4149.4951171875
arcs,100000,30611,4149.5439453125
arcs,100000,30634,4149.5927734375
arcs,100000,30524,4149.6416015625
arcs,100000,30476,4149.6904296875
arcs,100000,30419,4149.7392578125
arcs,100000,30512,4149.7880859375
arcs,500000,145558,16437.287109375
arcs,500000,147730,16437.399414063
arcs,500000,147414,16437.44921875
arcs,500000,147941,16437.498046875
arcs,500000,148232,16437.547851563
arcs,500000,148244,16437.59765625
arcs,500000,148261,16437.646484375
arcs,500000,146690,16437.696289063
arcs,500000,146423,16437.74609375
arcs,500000,146363,16437.794921875
circles,100,18,54.8125
circles,100,19,54.9130859375
circles,100,20,54.95703125
circles,100,22,54.9990234375
circles,100,20,55.04296875
circles,100,21,55.0849609375
circles,100,20,55.12890625
circles,100,21,55.1708984375
circles,100,21,55.21484375
circles,100,21,55.2568359375
circles,500,87,66.8125
circles,500,89,66.9130859375
circles,500,94,66.95703125
circles,500,93,66.9990234375
circles,500,104,67.04296875
circles,500,158,67.0859375
circles,500,159,67.1279296875
circles,500,159,67.1728515625
circles,500,158,67.2177734375
circles,500,160,67.2626953125
circles,1000,303,82.8125
circles,1000,313,82.9150390625
circles,1000,318,82.9609375
circles,1000,320,83.00390625
circles,1000,317,83.0478515625
circles,1000,318,83.09375
circles,1000,317,83.134765625
circles,1000,317,83.1796875
circles,1000,319,83.22265625
circles,1000,319,83.2666015625
circles,5000,1530,306.8125
circles,5000,1586,306.9169921875
circles,5000,1596,306.96484375
circles,5000,1598,307.0107421875
circles,5000,1597,307.05859375
circles,5000,1595,307.1044921875
circles,5000,1600,307.15234375
circles,5000,1597,307.1982421875
circles,5000,1596,307.24609375
circles,5000,1599,307.2919921875
circles,10000,3065,562.8125
circles,10000,3189,562.91796875
circles,10000,3190,562.96484375
circles,10000,3188,563.01171875
circles,10000,3192,563.05859375
circles,10000,3192,563.10546875
circles,10000,3192,563.15234375
circles,10000,3190,563.19921875
circles,10000,3195,563.24609375
circles,10000,3188,563.29296875
circles,50000,14854,2100.71484375
circles,50000,15921,2100.826171875
circles,50000,15926,2100.8759765625
circles,50000,15915,2100.9267578125
circles,50000,15940,2100.9775390625
circles,50000,15938,2101.0283203125
circles,50000,15936,2101.0791015625
circles,50000,15931,2101.1298828125
circles,50000,15936,2101.1806640625
circles,50000,15949,2101.2314453125
circles,100000,30260,4149.24609375
circles,100000,31880,4149.3583984375
circles,100000,31886,4149.41015625
circles,100000,31890,4149.4599609375
circles,100000,31846,4149.51171875
circles,100000,31703,4149.5615234375
circles,100000,31826,4149.61328125
circles,100000,31870,4149.6630859375
circles,100000,31873,4149.71484375
circles,100000,31856,4149.7646484375
circles,500000,152744,16437.24609375
circles,500000,159278,16437.360351563
circles,500000,159056,16437.413085938
circles,500000,159040,16437.465820313
circles,500000,159027,16437.518554688
circles,500000,159009,16437.571289063
circles,500000,158990,16437.624023438
circles,500000,158791,16437.676757813
circles,500000,158929,16437.729492188
circles,500000,159564,16437.782226563
fillArcs,100,34,54.861328125
fillArcs,100,30,54.9677734375
fillArcs,100,34,55.0126953125
fillArcs,100,35,55.0576171875
fillArcs,100,34,55.1025390625
fillArcs,100,33,55.1474609375
fillArcs,100,35,55.1923828125
fillArcs,100,34,55.2373046875
fillArcs,100,34,55.2822265625
fillArcs,100,35,55.3271484375
fillArcs,500,154,66.861328125
fillArcs,500,155,66.96875
fillArcs,500,160,67.009765625
fillArcs,500,161,67.0546875
fillArcs,500,160,67.09765625
fillArcs,500,161,67.1416015625
fillArcs,500,159,67.1875
fillArcs,500,161,67.2275390625
fillArcs,500,159,67.2734375
fillArcs,500,161,67.31640625
fillArcs,1000,303,82.861328125
fillArcs,1000,319,82.9697265625
fillArcs,1000,320,83.0166015625
fillArcs,1000,322,83.0634765625
fillArcs,1000,320,83.1103515625
fillArcs,1000,321,83.1572265625
fillArcs,1000,322,83.2041015625
fillArcs,1000,322,83.2509765625
fillArcs,1000,322,83.2978515625
fillArcs,1000,322,83.3447265625
fillArcs,5000,1540,306.861328125
fillArcs,5000,1608,306.9716796875
fillArcs,5000,1620,307.0205078125
fillArcs,5000,1620,307.0693359375
fillArcs,5000,1623,307.1181640625
fillArcs,5000,1620,307.1669921875
fillArcs,5000,1620,307.2158203125
fillArcs,5000,1619,307.2646484375
fillArcs,5000,1618,307.3134765625
fillArcs,5000,1621,307.3623046875
fillArcs,10000,3094,562.861328125
fillArcs,10000,3245,562.97265625
fillArcs,10000,3240,563.0205078125
fillArcs,10000,3241,563.0703125
fillArcs,10000,3245,563.1171875
fillArcs,10000,3244,563.1640625
fillArcs,10000,3245,563.2109375
fillArcs,10000,3241,563.2578125
fillArcs,10000,3245,563.3046875
fillArcs,10000,3241,563.3515625
fillArcs,50000,15022,2100.763671875
fillArcs,50000,16161,2100.876953125
fillArcs,50000,16154,2100.927734375
fillArcs,50000,16149,2100.978515625
fillArcs,50000,16152,2101.029296875
fillArcs,50000,16162,2101.080078125
fillArcs,50000,16154,2101.130859375
fillArcs,50000,16149,2101.181640625
